pairid	q_acc	r_acc	stratum	genus	species
GCA_903877425.1__GCA_903958055.1	GCA_903877425.1	GCA_903958055.1	97-100	g__UBA3015	s__UBA3015 sp903956835
GCA_903909205.1__GCA_903958055.1	GCA_903909205.1	GCA_903958055.1	97-100	g__UBA3015	s__UBA3015 sp903956835
GCA_014841765.1__GCA_014841995.1	GCA_014841765.1	GCA_014841995.1	97-100	g__Massilia	s__Massilia sp014841595
GCA_014841765.1__GCA_014842315.1	GCA_014841765.1	GCA_014842315.1	97-100	g__Massilia	s__Massilia sp014841595
GCA_014841995.1__GCA_014842315.1	GCA_014841995.1	GCA_014842315.1	97-100	g__Massilia	s__Massilia sp014841595
GCF_003493125.1__GCF_013401795.1	GCF_003493125.1	GCF_013401795.1	97-100	g__Haemophilus	s__Haemophilus sp001276515
GCA_003576955.1__GCA_019187335.1	GCA_003576955.1	GCA_019187335.1	97-100	g__Nitrospira_A	s__Nitrospira_A sp001567445
GCA_011525815.1__GCA_900696565.1	GCA_011525815.1	GCA_900696565.1	97-100	g__Nitrospira_A	s__Nitrospira_A sp001567445
GCA_001567445.1__GCA_003576955.1	GCA_001567445.1	GCA_003576955.1	97-100	g__Nitrospira_A	s__Nitrospira_A sp001567445
GCA_003132375.1__GCA_003132845.1	GCA_003132375.1	GCA_003132845.1	97-100	g__Bog-209	s__Bog-209 sp003132405
GCA_003139495.1__GCA_003166935.1	GCA_003139495.1	GCA_003166935.1	97-100	g__Bog-209	s__Bog-209 sp003132405
GCA_003132845.1__GCA_003140755.1	GCA_003132845.1	GCA_003140755.1	97-100	g__Bog-209	s__Bog-209 sp003132405
GCA_016284375.1__GCF_000424405.1	GCA_016284375.1	GCF_000424405.1	97-100	g__Butyrivibrio	s__Butyrivibrio fibrisolvens_C
GCF_000424565.1__GCF_900111185.1	GCF_000424565.1	GCF_900111185.1	97-100	g__Butyrivibrio	s__Butyrivibrio fibrisolvens_C
GCA_017419305.1__GCF_900110805.1	GCA_017419305.1	GCF_900110805.1	97-100	g__Butyrivibrio	s__Butyrivibrio fibrisolvens_C
GCA_002778885.1__GCA_002790585.1	GCA_002778885.1	GCA_002790585.1	97-100	g__GCA-002782345	s__GCA-002782345 sp002782345
GCA_001782355.1__GCA_001782445.1	GCA_001782355.1	GCA_001782445.1	97-100	g__2-01-FULL-37-20	s__2-01-FULL-37-20 sp001784115
GCA_001782205.1__GCA_001783775.1	GCA_001782205.1	GCA_001783775.1	97-100	g__2-01-FULL-37-20	s__2-01-FULL-37-20 sp001784115
GCA_001782205.1__GCA_001782445.1	GCA_001782205.1	GCA_001782445.1	97-100	g__2-01-FULL-37-20	s__2-01-FULL-37-20 sp001784115
GCA_003141355.1__GCA_003142335.1	GCA_003141355.1	GCA_003142335.1	97-100	g__Fen-1467	s__Fen-1467 sp003142615
GCA_904418895.1__GCA_904419325.1	GCA_904418895.1	GCA_904419325.1	97-100	g__Merdivicinus	s__Merdivicinus faecavium
GCA_014846755.1__GCA_900767755.1	GCA_014846755.1	GCA_900767755.1	97-100	g__CAG-841	s__CAG-841 sp900544285
GCA_014846755.1__GCA_905212145.1	GCA_014846755.1	GCA_905212145.1	97-100	g__CAG-841	s__CAG-841 sp900544285
GCA_900767755.1__GCA_905212145.1	GCA_900767755.1	GCA_905212145.1	97-100	g__CAG-841	s__CAG-841 sp900544285
GCA_902582915.1__GCA_902602995.1	GCA_902582915.1	GCA_902602995.1	97-100	g__Pelagibacter	s__Pelagibacter sp902589345
GCF_017788805.1__GCF_900324035.1	GCF_017788805.1	GCF_900324035.1	97-100	g__Bradyrhizobium	s__Bradyrhizobium vignae
GCA_016284055.1__GCA_016285565.1	GCA_016284055.1	GCA_016285565.1	97-100	g__Cryptobacteroides	s__Cryptobacteroides sp016286145
GCA_001777735.1__GCA_001780065.1	GCA_001777735.1	GCA_001780065.1	97-100	g__2-01-FULL-46-14	s__2-01-FULL-46-14 sp001777515
GCA_001777875.1__GCA_001780065.1	GCA_001777875.1	GCA_001780065.1	97-100	g__2-01-FULL-46-14	s__2-01-FULL-46-14 sp001777515
GCA_001777695.1__GCA_001777735.1	GCA_001777695.1	GCA_001777735.1	97-100	g__2-01-FULL-46-14	s__2-01-FULL-46-14 sp001777515
GCF_002206385.2__GCF_003576035.1	GCF_002206385.2	GCF_003576035.1	97-100	g__Serratia_F	s__Serratia_F odorifera
GCF_000163595.1__GCF_016404565.1	GCF_000163595.1	GCF_016404565.1	97-100	g__Serratia_F	s__Serratia_F odorifera
GCF_003576035.1__GCF_016404565.1	GCF_003576035.1	GCF_016404565.1	97-100	g__Serratia_F	s__Serratia_F odorifera
GCF_000422605.1__GCF_002148845.1	GCF_000422605.1	GCF_002148845.1	97-100	g__Eggerthia	s__Eggerthia catenaformis
GCF_003012835.1__GCF_003385915.1	GCF_003012835.1	GCF_003385915.1	97-100	g__Brevibacillus	s__Brevibacillus brevis
GCF_003385915.1__GCF_006539845.1	GCF_003385915.1	GCF_006539845.1	97-100	g__Brevibacillus	s__Brevibacillus brevis
GCF_003385915.1__GCF_006715575.1	GCF_003385915.1	GCF_006715575.1	97-100	g__Brevibacillus	s__Brevibacillus brevis
GCF_001679125.1__GCF_016028775.1	GCF_001679125.1	GCF_016028775.1	97-100	g__Moraxella	s__Moraxella nonliquefaciens
GCF_016028775.1__GCF_016127895.1	GCF_016028775.1	GCF_016127895.1	97-100	g__Moraxella	s__Moraxella nonliquefaciens
GCF_001679155.1__GCF_016127895.1	GCF_001679155.1	GCF_016127895.1	97-100	g__Moraxella	s__Moraxella nonliquefaciens
GCA_017889165.1__GCA_900759505.1	GCA_017889165.1	GCA_900759505.1	97-100	g__Massilicoli	s__Massilicoli timonensis
GCA_900541705.1__GCA_900759505.1	GCA_900541705.1	GCA_900759505.1	97-100	g__Massilicoli	s__Massilicoli timonensis
GCA_017889165.1__GCA_018712755.1	GCA_017889165.1	GCA_018712755.1	97-100	g__Massilicoli	s__Massilicoli timonensis
GCA_002452445.1__GCA_002742785.1	GCA_002452445.1	GCA_002742785.1	97-100	g__Sulfurospirillum_A	s__Sulfurospirillum_A sp002742765
GCF_003234055.1__GCF_018408275.1	GCF_003234055.1	GCF_018408275.1	97-100	g__Pseudomonas_F	s__Pseudomonas_F sp003234055
GCF_001702155.1__GCF_001702195.1	GCF_001702155.1	GCF_001702195.1	97-100	g__Secundilactobacillus	s__Secundilactobacillus paracollinoides
GCF_001702175.1__GCF_001702195.1	GCF_001702175.1	GCF_001702195.1	97-100	g__Secundilactobacillus	s__Secundilactobacillus paracollinoides
GCF_001435115.1__GCF_001702175.1	GCF_001435115.1	GCF_001702175.1	97-100	g__Secundilactobacillus	s__Secundilactobacillus paracollinoides
GCF_001447335.1__GCF_001481395.1	GCF_001447335.1	GCF_001481395.1	97-100	g__Aeromonas	s__Aeromonas schubertii
GCF_001447335.1__GCF_004919485.1	GCF_001447335.1	GCF_004919485.1	97-100	g__Aeromonas	s__Aeromonas schubertii
GCF_001481395.1__GCF_004919485.1	GCF_001481395.1	GCF_004919485.1	97-100	g__Aeromonas	s__Aeromonas schubertii
GCA_900753265.1__GCA_905194645.1	GCA_900753265.1	GCA_905194645.1	97-100	g__Cryptobacteroides	s__Cryptobacteroides sp900544195
GCA_018644905.1__GCA_018664185.1	GCA_018644905.1	GCA_018664185.1	97-100	g__UBA3125	s__UBA3125 sp018673475
GCA_018653505.1__GCA_018697795.1	GCA_018653505.1	GCA_018697795.1	97-100	g__UBA3125	s__UBA3125 sp018673475
GCA_018650425.1__GCA_018670555.1	GCA_018650425.1	GCA_018670555.1	97-100	g__UBA3125	s__UBA3125 sp018673475
GCF_000235975.1__GCF_000253255.1	GCF_000235975.1	GCF_000253255.1	97-100	g__Novosphingobium	s__Novosphingobium pentaromativorans
GCF_000235975.1__GCF_017312445.1	GCF_000235975.1	GCF_017312445.1	97-100	g__Novosphingobium	s__Novosphingobium pentaromativorans
GCF_000253255.1__GCF_017312445.1	GCF_000253255.1	GCF_017312445.1	97-100	g__Novosphingobium	s__Novosphingobium pentaromativorans
GCA_002414585.1__GCA_002415665.1	GCA_002414585.1	GCA_002415665.1	97-100	g__Gracilimonas	s__Gracilimonas sp002694685
GCA_002414885.1__GCA_002415665.1	GCA_002414885.1	GCA_002415665.1	97-100	g__Gracilimonas	s__Gracilimonas sp002694685
GCA_002376285.1__GCA_002414585.1	GCA_002376285.1	GCA_002414585.1	97-100	g__Gracilimonas	s__Gracilimonas sp002694685
GCF_000706685.1__GCF_002836825.1	GCF_000706685.1	GCF_002836825.1	97-100	g__Staphylococcus	s__Staphylococcus xylosus
GCF_002836825.1__GCF_007677965.1	GCF_002836825.1	GCF_007677965.1	97-100	g__Staphylococcus	s__Staphylococcus xylosus
GCF_002078255.1__GCF_003041555.1	GCF_002078255.1	GCF_003041555.1	97-100	g__Staphylococcus	s__Staphylococcus xylosus
GCA_017437245.1__GCA_017937915.1	GCA_017437245.1	GCA_017937915.1	97-100	g__Alistipes	s__Alistipes sp017399485
GCA_017437245.1__GCA_017505835.1	GCA_017437245.1	GCA_017505835.1	97-100	g__Alistipes	s__Alistipes sp017399485
GCA_017398025.1__GCA_017437245.1	GCA_017398025.1	GCA_017437245.1	97-100	g__Alistipes	s__Alistipes sp017399485
GCF_000381685.1__GCF_012396345.1	GCF_000381685.1	GCF_012396345.1	97-100	g__Nocardiopsis	s__Nocardiopsis dassonvillei
GCF_000381685.1__GCF_004217075.1	GCF_000381685.1	GCF_004217075.1	97-100	g__Nocardiopsis	s__Nocardiopsis dassonvillei
GCF_012396345.1__GCF_902825375.1	GCF_012396345.1	GCF_902825375.1	97-100	g__Nocardiopsis	s__Nocardiopsis dassonvillei
GCA_008671025.1__GCA_900547115.1	GCA_008671025.1	GCA_900547115.1	97-100	g__Varibaculum	s__Varibaculum timonense_A
GCA_008661855.1__GCA_900552865.1	GCA_008661855.1	GCA_900552865.1	97-100	g__Varibaculum	s__Varibaculum timonense_A
GCA_008661855.1__GCA_008669045.1	GCA_008661855.1	GCA_008669045.1	97-100	g__Varibaculum	s__Varibaculum timonense_A
GCF_000367445.1__GCF_003208575.1	GCF_000367445.1	GCF_003208575.1	97-100	g__Metamycoplasma	s__Metamycoplasma alkalescens
GCF_010858005.1__GCF_015477975.1	GCF_010858005.1	GCF_015477975.1	97-100	g__Nocardia	s__Nocardia cyriacigeorgica_B
GCF_010858005.1__GCF_015477225.1	GCF_010858005.1	GCF_015477225.1	97-100	g__Nocardia	s__Nocardia cyriacigeorgica_B
GCF_010858005.1__GCF_015477645.1	GCF_010858005.1	GCF_015477645.1	97-100	g__Nocardia	s__Nocardia cyriacigeorgica_B
GCF_000293015.1__GCF_900450505.1	GCF_000293015.1	GCF_900450505.1	97-100	g__Slackia	s__Slackia exigua
GCF_000722885.1__GCF_900103515.1	GCF_000722885.1	GCF_900103515.1	97-100	g__Pedobacter	s__Pedobacter antarcticus
GCF_010580965.1__GCF_910574975.1	GCF_010580965.1	GCF_910574975.1	97-100	g__Ligilactobacillus	s__Ligilactobacillus murinus
GCA_002358455.1__GCF_010581185.1	GCA_002358455.1	GCF_010581185.1	97-100	g__Ligilactobacillus	s__Ligilactobacillus murinus
GCF_910574045.1__GCF_910574975.1	GCF_910574045.1	GCF_910574975.1	97-100	g__Ligilactobacillus	s__Ligilactobacillus murinus
GCA_903877085.1__GCA_903925765.1	GCA_903877085.1	GCA_903925765.1	97-100	g__Rhizomicrobium	s__Rhizomicrobium sp903857685
GCA_905208125.1__GCF_014287725.1	GCA_905208125.1	GCF_014287725.1	97-100	g__Clostridium	s__Clostridium disporicum
GCA_905208125.1__GCF_902362765.1	GCA_905208125.1	GCF_902362765.1	97-100	g__Clostridium	s__Clostridium disporicum
GCF_014287725.1__GCF_902362765.1	GCF_014287725.1	GCF_902362765.1	97-100	g__Clostridium	s__Clostridium disporicum
GCA_016290275.1__GCA_902771375.1	GCA_016290275.1	GCA_902771375.1	97-100	g__Cryptobacteroides	s__Cryptobacteroides sp900319685
GCA_902771375.1__GCA_902775215.1	GCA_902771375.1	GCA_902775215.1	97-100	g__Cryptobacteroides	s__Cryptobacteroides sp900319685
GCA_017389675.1__GCA_902768475.1	GCA_017389675.1	GCA_902768475.1	97-100	g__Cryptobacteroides	s__Cryptobacteroides sp900319685
GCA_017531355.1__GCA_902774955.1	GCA_017531355.1	GCA_902774955.1	97-100	g__UBA4372	s__UBA4372 sp900320565
GCA_017531355.1__GCA_900320165.1	GCA_017531355.1	GCA_900320165.1	97-100	g__UBA4372	s__UBA4372 sp900320565
GCA_902763715.1__GCA_902779435.1	GCA_902763715.1	GCA_902779435.1	97-100	g__UBA4372	s__UBA4372 sp900320565
GCA_002379505.1__GCA_002711945.1	GCA_002379505.1	GCA_002711945.1	97-100	g__Acinetobacter	s__Acinetobacter venetianus
GCA_015661595.1__GCF_001584675.1	GCA_015661595.1	GCF_001584675.1	97-100	g__Acinetobacter	s__Acinetobacter venetianus
GCA_015661595.1__GCF_004209405.1	GCA_015661595.1	GCF_004209405.1	97-100	g__Acinetobacter	s__Acinetobacter venetianus
GCA_002403255.1__GCA_002424565.1	GCA_002403255.1	GCA_002424565.1	97-100	g__UBA2202	s__UBA2202 sp002327905
GCA_002403255.1__GCA_003543575.1	GCA_002403255.1	GCA_003543575.1	97-100	g__UBA2202	s__UBA2202 sp002327905
GCA_002424565.1__GCA_003543575.1	GCA_002424565.1	GCA_003543575.1	97-100	g__UBA2202	s__UBA2202 sp002327905
GCA_009835875.1__GCA_009836655.1	GCA_009835875.1	GCA_009836655.1	97-100	g__Bin76	s__Bin76 sp009837815
GCA_009841565.1__GCA_009845945.1	GCA_009841565.1	GCA_009845945.1	97-100	g__Bin76	s__Bin76 sp009837815
GCA_009841565.1__GCA_009842715.1	GCA_009841565.1	GCA_009842715.1	97-100	g__Bin76	s__Bin76 sp009837815
GCA_002386665.1__GCF_002193135.1	GCA_002386665.1	GCF_002193135.1	97-100	g__Pseudomonas_A	s__Pseudomonas_A stutzeri
GCA_002296595.1__GCF_003935565.1	GCA_002296595.1	GCF_003935565.1	97-100	g__Pseudomonas_A	s__Pseudomonas_A stutzeri
GCA_002473225.1__GCF_013267085.1	GCA_002473225.1	GCF_013267085.1	97-100	g__Pseudomonas_A	s__Pseudomonas_A stutzeri
GCA_012839985.1__GCA_018433175.1	GCA_012839985.1	GCA_018433175.1	97-100	g__Petrimonas	s__Petrimonas sp001898165
GCA_902555425.1__GCA_902558645.1	GCA_902555425.1	GCA_902558645.1	97-100	g__MED-G78	s__MED-G78 sp902558645
GCA_003331645.1__GCA_902558645.1	GCA_003331645.1	GCA_902558645.1	97-100	g__MED-G78	s__MED-G78 sp902558645
GCA_902555615.1__GCA_902559475.1	GCA_902555615.1	GCA_902559475.1	97-100	g__MED-G78	s__MED-G78 sp902558645
GCA_900554425.1__GCA_900752075.1	GCA_900554425.1	GCA_900752075.1	97-100	g__Dysosmobacter	s__Dysosmobacter sp905200545
GCA_018375635.1__GCF_003477535.1	GCA_018375635.1	GCF_003477535.1	97-100	g__Eubacterium	s__Eubacterium maltosivorans
GCF_001481725.1__GCF_902364445.1	GCF_001481725.1	GCF_902364445.1	97-100	g__Eubacterium	s__Eubacterium maltosivorans
GCF_003477535.1__GCF_900103155.1	GCF_003477535.1	GCF_900103155.1	97-100	g__Eubacterium	s__Eubacterium maltosivorans
GCA_017640225.1__GCA_017640265.1	GCA_017640225.1	GCA_017640265.1	97-100	g__GCA-2704625	s__GCA-2704625 sp017640245
GCA_017640125.1__GCA_017640205.1	GCA_017640125.1	GCA_017640205.1	97-100	g__GCA-2704625	s__GCA-2704625 sp017640245
GCA_017640165.1__GCA_017640175.1	GCA_017640165.1	GCA_017640175.1	97-100	g__GCA-2704625	s__GCA-2704625 sp017640245
GCA_004555945.1__GCA_900760515.1	GCA_004555945.1	GCA_900760515.1	97-100	g__Faecalibacterium	s__Faecalibacterium sp900539885
GCA_018381555.1__GCA_905200965.1	GCA_018381555.1	GCA_905200965.1	97-100	g__Faecalibacterium	s__Faecalibacterium sp900539885
GCA_004555945.1__GCA_905200965.1	GCA_004555945.1	GCA_905200965.1	97-100	g__Faecalibacterium	s__Faecalibacterium sp900539885
GCA_009774295.1__GCA_013316185.1	GCA_009774295.1	GCA_013316185.1	97-100	g__Sporofaciens	s__Sporofaciens sp009774295
GCA_009774295.1__GCA_910579715.1	GCA_009774295.1	GCA_910579715.1	97-100	g__Sporofaciens	s__Sporofaciens sp009774295
GCA_013316185.1__GCA_910579715.1	GCA_013316185.1	GCA_910579715.1	97-100	g__Sporofaciens	s__Sporofaciens sp009774295
GCF_002204835.1__GCF_002916795.1	GCF_002204835.1	GCF_002916795.1	97-100	g__Flavobacterium	s__Flavobacterium columnare_C
GCF_002916795.1__GCF_011316565.1	GCF_002916795.1	GCF_011316565.1	97-100	g__Flavobacterium	s__Flavobacterium columnare_C
GCF_002204835.1__GCF_011316545.1	GCF_002204835.1	GCF_011316545.1	97-100	g__Flavobacterium	s__Flavobacterium columnare_C
GCA_019115905.1__GCF_904394705.1	GCA_019115905.1	GCF_904394705.1	97-100	g__Avimicrobium	s__Avimicrobium caecorum
GCA_900547185.1__GCA_900762305.1	GCA_900547185.1	GCA_900762305.1	97-100	g__Avimicrobium	s__Avimicrobium caecorum
GCA_900547185.1__GCA_905187875.1	GCA_900547185.1	GCA_905187875.1	97-100	g__Avimicrobium	s__Avimicrobium caecorum
GCA_002338485.1__GCA_002450275.1	GCA_002338485.1	GCA_002450275.1	97-100	g__UBA4421	s__UBA4421 sp002470275
GCA_004213395.1__GCA_902572725.1	GCA_004213395.1	GCA_902572725.1	97-100	g__UBA4421	s__UBA4421 sp002470275
GCA_002338485.1__GCA_902572725.1	GCA_002338485.1	GCA_902572725.1	97-100	g__UBA4421	s__UBA4421 sp002470275
GCF_002285155.1__GCF_007786415.1	GCF_002285155.1	GCF_007786415.1	97-100	g__Corynebacterium	s__Corynebacterium gottingense
GCF_002285075.1__GCF_002285155.1	GCF_002285075.1	GCF_002285155.1	97-100	g__Corynebacterium	s__Corynebacterium gottingense
GCF_002285085.1__GCF_002285155.1	GCF_002285085.1	GCF_002285155.1	97-100	g__Corynebacterium	s__Corynebacterium gottingense
GCA_015122025.1__GCA_015122065.1	GCA_015122025.1	GCA_015122065.1	97-100	g__JADFAT01	s__JADFAT01 sp015122075
GCA_015121965.1__GCA_015122035.1	GCA_015121965.1	GCA_015122035.1	97-100	g__JADFAT01	s__JADFAT01 sp015122075
GCA_015121965.1__GCA_015122065.1	GCA_015121965.1	GCA_015122065.1	97-100	g__JADFAT01	s__JADFAT01 sp015122075
GCF_000971865.1__GCF_000971875.1	GCF_000971865.1	GCF_000971875.1	97-100	g__Corynebacterium	s__Corynebacterium argentoratense
GCA_903827795.1__GCA_903837615.1	GCA_903827795.1	GCA_903837615.1	97-100	g__CAIVRH01	s__CAIVRH01 sp903908285
GCA_903827795.1__GCA_903840205.1	GCA_903827795.1	GCA_903840205.1	97-100	g__CAIVRH01	s__CAIVRH01 sp903908285
GCA_903837615.1__GCA_903840205.1	GCA_903837615.1	GCA_903840205.1	97-100	g__CAIVRH01	s__CAIVRH01 sp903908285
GCF_001758545.1__GCF_001758795.1	GCF_001758545.1	GCF_001758795.1	97-100	g__Duganella	s__Duganella sp000335815
GCF_001758545.1__GCF_009380165.1	GCF_001758545.1	GCF_009380165.1	97-100	g__Duganella	s__Duganella sp000335815
GCF_001758795.1__GCF_009380165.1	GCF_001758795.1	GCF_009380165.1	97-100	g__Duganella	s__Duganella sp000335815
GCA_018665665.1__GCA_018671325.1	GCA_018665665.1	GCA_018671325.1	97-100	g__UBA8337	s__UBA8337 sp018660505
GCA_017537385.1__GCA_017549625.1	GCA_017537385.1	GCA_017549625.1	97-100	g__Methanocorpusculum	s__Methanocorpusculum sp017387505
GCA_017537385.1__GCA_017561385.1	GCA_017537385.1	GCA_017561385.1	97-100	g__Methanocorpusculum	s__Methanocorpusculum sp017387505
GCA_017549625.1__GCA_017561385.1	GCA_017549625.1	GCA_017561385.1	97-100	g__Methanocorpusculum	s__Methanocorpusculum sp017387505
GCF_000712315.1__GCF_013347125.1	GCF_000712315.1	GCF_013347125.1	97-100	g__Ascidiaceihabitans	s__Ascidiaceihabitans pseudonitzschiae
GCF_000712315.1__GCF_014805345.1	GCF_000712315.1	GCF_014805345.1	97-100	g__Ascidiaceihabitans	s__Ascidiaceihabitans pseudonitzschiae
GCF_013347125.1__GCF_014805345.1	GCF_013347125.1	GCF_014805345.1	97-100	g__Ascidiaceihabitans	s__Ascidiaceihabitans pseudonitzschiae
GCF_008974205.1__GCF_008974225.1	GCF_008974205.1	GCF_008974225.1	97-100	g__Weizmannia	s__Weizmannia sp008974185
GCA_011040195.1__GCA_011050745.1	GCA_011040195.1	GCA_011050745.1	97-100	g__BMS3ABIN06	s__BMS3ABIN06 sp002897895
GCF_009295545.1__GCF_018861855.1	GCF_009295545.1	GCF_018861855.1	97-100	g__Clostridium_AD	s__Clostridium_AD estertheticum
GCF_018861305.1__GCF_018861855.1	GCF_018861305.1	GCF_018861855.1	97-100	g__Clostridium_AD	s__Clostridium_AD estertheticum
GCF_018861665.1__GCF_018861855.1	GCF_018861665.1	GCF_018861855.1	97-100	g__Clostridium_AD	s__Clostridium_AD estertheticum
GCA_902762075.1__GCA_902784875.1	GCA_902762075.1	GCA_902784875.1	97-100	g__UBA4334	s__UBA4334 sp902801475
GCA_902772145.1__GCA_902784875.1	GCA_902772145.1	GCA_902784875.1	97-100	g__UBA4334	s__UBA4334 sp902801475
GCA_902760875.1__GCA_902800605.1	GCA_902760875.1	GCA_902800605.1	97-100	g__UBA4334	s__UBA4334 sp902801475
GCA_017401005.1__GCA_017470595.1	GCA_017401005.1	GCA_017470595.1	97-100	g__AC2028	s__AC2028 sp017469945
GCF_902381785.1__GCF_902410085.1	GCF_902381785.1	GCF_902410085.1	97-100	g__Haloferax	s__Haloferax massiliensis
GCA_002386485.1__GCA_002451575.1	GCA_002386485.1	GCA_002451575.1	97-100	g__Enterousia	s__Enterousia sp002437665
GCA_002386485.1__GCA_002437745.1	GCA_002386485.1	GCA_002437745.1	97-100	g__Enterousia	s__Enterousia sp002437665
GCA_002436715.1__GCA_002477875.1	GCA_002436715.1	GCA_002477875.1	97-100	g__Enterousia	s__Enterousia sp002437665
GCA_008124685.1__GCA_009493695.1	GCA_008124685.1	GCA_009493695.1	97-100	g__Paracoccus	s__Paracoccus marcusii
GCF_000967825.1__GCF_015390265.1	GCF_000967825.1	GCF_015390265.1	97-100	g__Paracoccus	s__Paracoccus marcusii
GCF_006239215.1__GCF_015390265.1	GCF_006239215.1	GCF_015390265.1	97-100	g__Paracoccus	s__Paracoccus marcusii
GCA_900539085.1__GCA_900756475.1	GCA_900539085.1	GCA_900756475.1	97-100	g__CAG-1427	s__CAG-1427 sp000435475
GCA_900539085.1__GCA_905198335.1	GCA_900539085.1	GCA_905198335.1	97-100	g__CAG-1427	s__CAG-1427 sp000435475
GCA_900756475.1__GCA_905198335.1	GCA_900756475.1	GCA_905198335.1	97-100	g__CAG-1427	s__CAG-1427 sp000435475
GCF_000237145.1__GCF_002717025.1	GCF_000237145.1	GCF_002717025.1	97-100	g__Actinoplanes	s__Actinoplanes sp900119315
GCF_002204815.1__GCF_004010215.1	GCF_002204815.1	GCF_004010215.1	97-100	g__Flavobacterium	s__Flavobacterium columnare_D
GCA_903837735.1__GCA_903890355.1	GCA_903837735.1	GCA_903890355.1	97-100	g__CAIQLG01	s__CAIQLG01 sp903872565
GCA_015228685.1__GCA_015232515.1	GCA_015228685.1	GCA_015232515.1	97-100	g__YD0425bin51	s__YD0425bin51 sp002753225
GCA_002329165.1__GCA_905207605.1	GCA_002329165.1	GCA_905207605.1	97-100	g__Phocaeicola	s__Phocaeicola merdavium
GCA_002329165.1__GCA_019120195.1	GCA_002329165.1	GCA_019120195.1	97-100	g__Phocaeicola	s__Phocaeicola merdavium
GCA_019120195.1__GCA_905207605.1	GCA_019120195.1	GCA_905207605.1	97-100	g__Phocaeicola	s__Phocaeicola merdavium
GCA_902623315.1__GCA_902624565.1	GCA_902623315.1	GCA_902624565.1	97-100	g__Pelagibacter	s__Pelagibacter sp902625715
GCA_017985755.1__GCA_017985895.1	GCA_017985755.1	GCA_017985895.1	97-100	g__Azonexus	s__Azonexus sp016705475
GCF_009600045.1__GCF_009600205.1	GCF_009600045.1	GCF_009600205.1	97-100	g__Pseudomonas_E	s__Pseudomonas_E helleri
GCF_009600365.1__GCF_009600385.1	GCF_009600365.1	GCF_009600385.1	97-100	g__Pseudomonas_E	s__Pseudomonas_E helleri
GCF_009600285.1__GCF_009600525.1	GCF_009600285.1	GCF_009600525.1	97-100	g__Pseudomonas_E	s__Pseudomonas_E helleri
GCF_004421165.1__GCF_004421175.1	GCF_004421165.1	GCF_004421175.1	97-100	g__Methylacidiphilum	s__Methylacidiphilum fumariolicum
GCF_000297415.1__GCF_004421175.1	GCF_000297415.1	GCF_004421175.1	97-100	g__Methylacidiphilum	s__Methylacidiphilum fumariolicum
GCF_004421155.1__GCF_004421195.1	GCF_004421155.1	GCF_004421195.1	97-100	g__Methylacidiphilum	s__Methylacidiphilum fumariolicum
GCA_016462525.1__GCA_016462725.1	GCA_016462525.1	GCA_016462725.1	97-100	g__Limnocylindrus	s__Limnocylindrus sp016463555
GCF_002553575.1__GCF_900073015.1	GCF_002553575.1	GCF_900073015.1	97-100	g__Mycobacterium	s__Mycobacterium brumae
GCA_903874165.1__GCA_903896955.1	GCA_903874165.1	GCA_903896955.1	97-100	g__C7867-002	s__C7867-002 sp903872035
GCA_903866155.1__GCA_903874165.1	GCA_903866155.1	GCA_903874165.1	97-100	g__C7867-002	s__C7867-002 sp903872035
GCA_903842745.1__GCA_903874165.1	GCA_903842745.1	GCA_903874165.1	97-100	g__C7867-002	s__C7867-002 sp903872035
GCA_011620085.1__GCA_015709405.1	GCA_011620085.1	GCA_015709405.1	97-100	g__Sphaerochaeta	s__Sphaerochaeta halotolerans
GCA_011620085.1__GCF_009823595.1	GCA_011620085.1	GCF_009823595.1	97-100	g__Sphaerochaeta	s__Sphaerochaeta halotolerans
GCA_015709405.1__GCF_009823595.1	GCA_015709405.1	GCF_009823595.1	97-100	g__Sphaerochaeta	s__Sphaerochaeta halotolerans
GCA_001778855.1__GCA_001780475.1	GCA_001778855.1	GCA_001780475.1	97-100	g__2-01-FULL-46-13	s__2-01-FULL-46-13 sp001780775
GCA_001780475.1__GCA_001780555.1	GCA_001780475.1	GCA_001780555.1	97-100	g__2-01-FULL-46-13	s__2-01-FULL-46-13 sp001780775
GCA_001780555.1__GCA_001780635.1	GCA_001780555.1	GCA_001780635.1	97-100	g__2-01-FULL-46-13	s__2-01-FULL-46-13 sp001780775
GCF_018847015.1__GCF_018847695.1	GCF_018847015.1	GCF_018847695.1	97-100	g__Akkermansia	s__Akkermansia sp001580195
GCF_018709825.1__GCF_018847015.1	GCF_018709825.1	GCF_018847015.1	97-100	g__Akkermansia	s__Akkermansia sp001580195
GCA_902386505.1__GCF_001578645.1	GCA_902386505.1	GCF_001578645.1	97-100	g__Akkermansia	s__Akkermansia sp001580195
GCA_000433075.1__GCA_905210015.1	GCA_000433075.1	GCA_905210015.1	97-100	g__Coprococcus	s__Coprococcus sp000433075
GCA_900538625.1__GCA_905210015.1	GCA_900538625.1	GCA_905210015.1	97-100	g__Coprococcus	s__Coprococcus sp000433075
GCA_000433075.1__GCA_900538625.1	GCA_000433075.1	GCA_900538625.1	97-100	g__Coprococcus	s__Coprococcus sp000433075
GCF_000369485.1__GCF_000369545.1	GCF_000369485.1	GCF_000369545.1	97-100	g__Acinetobacter	s__Acinetobacter dispersus
