rank	pairid	q_acc	r_acc	anim_ani	ani	synteny_score	breakpoint_count	af_query	af_reference
206	GCA_009842775.1__GCA_009845765.1	GCA_009842775.1	GCA_009845765.1	99.98	99.9972	0.9983	10	0.9694	0.9752
207	GCF_006714955.1__GCF_007827525.1	GCF_006714955.1	GCF_007827525.1	99.99	99.9996	0.9983	13	0.9994	0.9994
208	GCF_000825065.1__GCF_000825085.1	GCF_000825065.1	GCF_000825085.1	100.0	99.9994	0.9983	10	0.9824	0.983
209	GCF_002875485.1__GCF_005146585.1	GCF_002875485.1	GCF_005146585.1	99.88	99.9468	0.9983	10	0.9483	0.9554
210	GCF_001077855.1__GCF_014644275.1	GCF_001077855.1	GCF_014644275.1	99.2	99.3053	0.9984	11	0.9199	0.9689
211	GCA_002256885.1__GCA_002279885.1	GCA_002256885.1	GCA_002279885.1	99.82	99.9502	0.9984	10	0.9502	0.9548
212	GCF_000275605.1__GCF_008245085.1	GCF_000275605.1	GCF_008245085.1	99.97	99.9925	0.9984	3	0.9859	0.9959
213	GCA_002343605.1__GCA_002433875.1	GCA_002343605.1	GCA_002433875.1	99.98	99.9975	0.9985	2	0.9788	0.9782
214	GCF_004382125.1__GCF_013135445.1	GCF_004382125.1	GCF_013135445.1	99.87	99.9304	0.9985	6	0.9728	0.9732
215	GCF_004769745.1__GCF_004770835.1	GCF_004769745.1	GCF_004770835.1	99.99	99.9969	0.9985	7	0.9897	0.9208
216	GCF_000237145.1__GCF_002717025.1	GCF_000237145.1	GCF_002717025.1	99.99	99.9988	0.9985	24	0.9999	0.9999
217	GCF_001272985.1__GCF_002896635.1	GCF_001272985.1	GCF_002896635.1	99.98	99.9949	0.9985	7	0.9859	0.9869
218	GCA_009697925.1__GCA_009705485.1	GCA_009697925.1	GCA_009705485.1	99.88	99.997	0.9986	3	0.9486	0.9391
219	GCF_000798615.1__GCF_016313165.1	GCF_000798615.1	GCF_016313165.1	99.03	99.0745	0.9986	6	0.9158	0.9584
220	GCF_000012525.1__GCF_000817325.1	GCF_000012525.1	GCF_000817325.1	99.99	99.9987	0.9986	7	0.997	0.9962
221	GCF_002007845.1__GCF_002007865.1	GCF_002007845.1	GCF_002007865.1	99.98	99.9927	0.9986	2	0.9745	0.9983
222	GCA_903825745.1__GCA_903830245.1	GCA_903825745.1	GCA_903830245.1	99.99	99.9985	0.9986	6	0.9893	0.9909
223	GCF_001888095.1__GCF_900177455.1	GCF_001888095.1	GCF_900177455.1	99.98	99.9999	0.9986	3	0.9871	0.9431
224	GCA_900549265.1__GCA_905202005.1	GCA_900549265.1	GCA_905202005.1	100.0	99.9999	0.9986	2	0.9941	0.9924
225	GCA_900467085.1__GCA_900470265.1	GCA_900467085.1	GCA_900470265.1	99.98	99.9988	0.9986	23	0.9878	0.9876
226	GCF_000517765.1__GCF_015553015.1	GCF_000517765.1	GCF_015553015.1	99.88	99.9662	0.9987	3	0.9645	0.9663
227	GCA_002306515.1__GCA_002343515.1	GCA_002306515.1	GCA_002343515.1	99.87	99.9973	0.9987	6	0.9293	0.9344
228	GCA_002363785.1__GCA_002388535.1	GCA_002363785.1	GCA_002388535.1	99.99	99.9989	0.9987	4	0.9789	0.9749
229	GCA_002388965.1__GCF_006740765.1	GCA_002388965.1	GCF_006740765.1	99.99	99.9987	0.9987	10	0.9742	0.9208
230	GCA_001312025.1__GCF_002200915.1	GCA_001312025.1	GCF_002200915.1	99.6	99.7775	0.9987	5	0.951	0.9489
231	GCA_008501795.1__GCA_016743565.1	GCA_008501795.1	GCA_016743565.1	99.99	99.9977	0.9987	6	0.9903	0.9883
232	GCF_005503115.1__GCF_014529845.1	GCF_005503115.1	GCF_014529845.1	99.83	99.9673	0.9987	19	0.915	0.9008
233	GCF_002127615.1__GCF_002127625.1	GCF_002127615.1	GCF_002127625.1	99.97	99.9981	0.9987	19	0.9827	0.9821
234	GCA_002306245.1__GCA_002306405.1	GCA_002306245.1	GCA_002306405.1	99.96	99.9999	0.9988	9	0.989	0.9369
235	GCF_008802135.1__GCF_902832795.1	GCF_008802135.1	GCF_902832795.1	99.99	99.9992	0.9988	26	0.9753	0.9781
236	GCF_000685635.1__GCF_005406325.1	GCF_000685635.1	GCF_005406325.1	99.98	99.977	0.9988	7	0.9965	0.9962
237	GCF_003546685.2__GCF_003546725.2	GCF_003546685.2	GCF_003546725.2	99.98	99.9933	0.9988	3	0.9963	0.9958
238	GCF_000337295.1__GCF_005406325.1	GCF_000337295.1	GCF_005406325.1	100.0	99.9995	0.9988	7	0.9938	0.9925
239	GCF_011759615.1__GCF_012932485.1	GCF_011759615.1	GCF_012932485.1	99.65	99.5886	0.9989	6	0.9623	0.9926
240	GCA_013155505.1__GCA_013155515.1	GCA_013155505.1	GCA_013155515.1	99.15	99.3105	0.9989	4	0.9553	0.9768
241	GCF_003353445.1__GCF_007991555.1	GCF_003353445.1	GCF_007991555.1	99.99	99.9999	0.9989	2	0.9887	0.9904
242	GCF_003259625.1__GCF_009865065.1	GCF_003259625.1	GCF_009865065.1	99.99	99.9984	0.9989	15	0.9866	0.9851
243	GCF_900380115.1__GCF_900380205.1	GCF_900380115.1	GCF_900380205.1	99.96	99.9939	0.999	10	0.9404	0.94
244	GCF_016584005.1__GCF_016653175.1	GCF_016584005.1	GCF_016653175.1	100.0	99.9999	0.999	9	0.9913	0.9925
245	GCF_000226455.1__GCF_900236505.1	GCF_000226455.1	GCF_900236505.1	99.98	99.9975	0.999	15	0.9918	0.9856
246	GCF_002095995.1__GCF_002128045.1	GCF_002095995.1	GCF_002128045.1	99.94	99.9751	0.999	1	0.9977	0.9976
247	GCF_001984525.1__GCF_001984535.1	GCF_001984525.1	GCF_001984535.1	99.93	99.9996	0.999	7	0.988	0.9872
248	GCF_003070625.1__GCF_004920495.1	GCF_003070625.1	GCF_004920495.1	99.99	99.9999	0.999	4	0.9784	0.9787
249	GCA_002284945.1__GCF_002284975.1	GCA_002284945.1	GCF_002284975.1	99.99	99.9992	0.999	8	0.9694	0.9723
250	GCA_000953195.1__GCF_900444665.1	GCA_000953195.1	GCF_900444665.1	99.99	99.9999	0.999	1	0.9992	0.9957
251	GCA_018896145.1__GCA_018900785.1	GCA_018896145.1	GCA_018900785.1	99.82	99.8655	0.999	5	0.9322	0.9445
252	GCF_009862985.1__GCF_900236505.1	GCF_009862985.1	GCF_900236505.1	99.98	99.9975	0.999	15	0.9918	0.9856
253	GCF_001441635.1__GCF_900112725.1	GCF_001441635.1	GCF_900112725.1	99.99	99.9984	0.999	12	0.9844	0.9802
254	GCF_014697225.1__GCF_014697285.1	GCF_014697225.1	GCF_014697285.1	99.99	99.9985	0.9991	9	0.9875	0.9283
255	GCF_003028395.1__GCF_018344415.1	GCF_003028395.1	GCF_018344415.1	100.0	99.9991	0.9991	6	0.9824	0.9827
256	GCA_009701225.1__GCA_009702335.1	GCA_009701225.1	GCA_009702335.1	99.99	99.9999	0.9991	2	0.9218	0.9867
257	GCA_002383505.1__GCA_002419535.1	GCA_002383505.1	GCA_002419535.1	99.95	99.9999	0.9991	3	0.9773	0.9626
258	GCA_903820865.1__GCA_903867635.1	GCA_903820865.1	GCA_903867635.1	99.99	99.9992	0.9991	4	0.9864	0.9864
259	GCF_003722115.1__GCF_900177455.1	GCF_003722115.1	GCF_900177455.1	99.99	99.9999	0.9991	2	0.9846	0.9821
260	GCA_900765505.1__GCA_905213535.1	GCA_900765505.1	GCA_905213535.1	99.99	99.9999	0.9991	2	0.9668	0.9383
261	GCF_001558125.2__GCF_900113515.1	GCF_001558125.2	GCF_900113515.1	99.99	99.9994	0.9991	14	0.9894	0.9897
262	GCF_004365235.1__GCF_004368825.1	GCF_004365235.1	GCF_004368825.1	100.0	99.9999	0.9991	2	0.9524	0.9527
263	GCF_009876255.1__GCF_009876265.1	GCF_009876255.1	GCF_009876265.1	99.96	99.9877	0.9992	4	0.9702	0.9711
264	GCF_017368515.1__GCF_017368575.1	GCF_017368515.1	GCF_017368575.1	100.0	99.9973	0.9992	1	0.9036	0.9061
265	GCA_001487915.2__GCF_000825205.2	GCA_001487915.2	GCF_000825205.2	99.91	99.9458	0.9992	11	0.972	0.9824
266	GCF_016584005.1__GCF_016584015.1	GCF_016584005.1	GCF_016584015.1	100.0	99.9999	0.9992	7	0.9914	0.9915
267	GCF_016584015.1__GCF_016653175.1	GCF_016584015.1	GCF_016653175.1	100.0	99.9999	0.9992	7	0.9917	0.9928
268	GCA_016632365.1__GCA_019148575.1	GCA_016632365.1	GCA_019148575.1	99.88	99.9621	0.9992	4	0.9193	0.9081
269	GCF_002112395.1__GCF_002113365.1	GCF_002112395.1	GCF_002113365.1	100.0	99.9999	0.9992	11	0.9969	0.9968
270	GCF_002097765.1__GCF_900604905.1	GCF_002097765.1	GCF_900604905.1	99.99	99.9957	0.9992	4	0.904	0.9674
271	GCF_000741885.1__GCF_002759215.2	GCF_000741885.1	GCF_002759215.2	99.93	99.9732	0.9993	9	0.9412	0.9461
272	GCF_015767755.1__GCF_015767895.1	GCF_015767755.1	GCF_015767895.1	99.99	99.9972	0.9993	8	0.9971	0.9955
273	GCF_902705905.1__GCF_902706055.1	GCF_902705905.1	GCF_902706055.1	100.0	99.9999	0.9993	6	0.9796	0.9784
274	GCF_002112365.1__GCF_002113365.1	GCF_002112365.1	GCF_002113365.1	100.0	99.9999	0.9993	10	0.9968	0.9968
275	GCA_903872635.1__GCA_903912815.1	GCA_903872635.1	GCA_903912815.1	99.98	99.9887	0.9993	4	0.9333	0.911
276	GCF_003012835.1__GCF_003385915.1	GCF_003012835.1	GCF_003385915.1	99.99	99.9986	0.9993	7	0.9811	0.9818
277	GCF_014635785.1__GCF_900187075.1	GCF_014635785.1	GCF_900187075.1	99.99	99.9999	0.9993	1	0.9763	0.965
278	GCF_004421155.1__GCF_004421195.1	GCF_004421155.1	GCF_004421195.1	99.97	99.9954	0.9993	2	0.9524	0.9535
279	GCA_903827795.1__GCA_903837615.1	GCA_903827795.1	GCA_903837615.1	99.98	99.9957	0.9994	2	0.9725	0.9663
280	GCF_002112395.1__GCF_002112455.1	GCF_002112395.1	GCF_002112455.1	100.0	99.9999	0.9994	8	0.997	0.997
281	GCA_002344635.1__GCA_002345945.1	GCA_002344635.1	GCA_002345945.1	99.98	99.9881	0.9994	4	0.9263	0.9105
282	GCF_001431365.1__GCF_003254095.1	GCF_001431365.1	GCF_003254095.1	99.99	99.999	0.9994	2	0.9789	0.9794
283	GCA_003385575.1__GCA_003389245.1	GCA_003385575.1	GCA_003389245.1	99.98	99.9986	0.9994	4	0.9988	0.9989
284	GCA_001312385.1__GCF_900461315.1	GCA_001312385.1	GCF_900461315.1	99.85	99.8447	0.9994	3	0.9731	0.9616
285	GCF_009874035.1__GCF_009876225.1	GCF_009874035.1	GCF_009876225.1	99.97	99.9877	0.9994	3	0.9696	0.9716
286	GCF_002923025.1__GCF_002923085.1	GCF_002923025.1	GCF_002923085.1	100.0	99.9999	0.9994	4	0.9909	0.991
287	GCF_014697245.1__GCF_014697285.1	GCF_014697245.1	GCF_014697285.1	99.99	99.9988	0.9995	6	0.9868	0.9832
288	GCF_002113055.1__GCF_002113705.1	GCF_002113055.1	GCF_002113705.1	99.99	99.9995	0.9995	7	0.9963	0.9966
289	GCA_900037355.1__GCF_900168365.1	GCA_900037355.1	GCF_900168365.1	99.99	99.9981	0.9995	1	0.987	0.9751
290	GCA_900466865.1__GCA_900471955.1	GCA_900466865.1	GCA_900471955.1	99.97	99.9841	0.9995	5	0.9778	0.9605
291	GCA_903835245.1__GCA_903839075.1	GCA_903835245.1	GCA_903839075.1	99.99	99.9991	0.9995	2	0.9895	0.99
292	GCA_002299055.1__GCA_002500395.1	GCA_002299055.1	GCA_002500395.1	100.0	99.9991	0.9995	2	0.9593	0.9619
293	GCF_001014685.1__GCF_001922405.1	GCF_001014685.1	GCF_001922405.1	99.91	99.9664	0.9995	1	0.9468	0.9321
294	GCF_009727925.1__GCF_009728085.1	GCF_009727925.1	GCF_009728085.1	99.99	99.9992	0.9995	2	0.9879	0.9878
295	GCA_003511045.1__GCA_003524005.1	GCA_003511045.1	GCA_003524005.1	99.99	99.9999	0.9995	1	0.979	0.982
296	GCF_000337295.1__GCF_000685635.1	GCF_000337295.1	GCF_000685635.1	99.98	99.9751	0.9995	3	0.9944	0.9922
297	GCF_000735425.1__GCF_900706845.1	GCF_000735425.1	GCF_900706845.1	99.98	99.9868	0.9995	3	0.9863	0.9753
298	GCF_016813095.1__GCF_016813775.1	GCF_016813095.1	GCF_016813775.1	100.0	99.9999	0.9996	3	0.9821	0.9944
299	GCF_905109795.1__GCF_905113005.1	GCF_905109795.1	GCF_905113005.1	99.92	99.9678	0.9996	1	0.9664	0.9843
300	GCF_007991355.1__GCF_014645215.1	GCF_007991355.1	GCF_014645215.1	99.99	99.9999	0.9996	1	0.9499	0.9426
301	GCA_001515095.1__GCF_018398255.1	GCA_001515095.1	GCF_018398255.1	99.83	99.8692	0.9996	2	0.9442	0.9245
302	GCF_002979885.1__GCF_002980105.1	GCF_002979885.1	GCF_002980105.1	99.99	99.9999	0.9996	5	0.9954	0.9953
303	GCA_003241585.1__GCA_003241635.1	GCA_003241585.1	GCA_003241635.1	100.0	99.9998	0.9996	8	0.9844	0.9844
304	GCF_000614865.1__GCF_009617915.1	GCF_000614865.1	GCF_009617915.1	99.97	99.9819	0.9996	2	0.9733	0.9676
305	GCF_000470275.1__GCF_000470455.1	GCF_000470275.1	GCF_000470455.1	99.72	99.9258	0.9996	1	0.9923	0.9923
306	GCA_009698005.1__GCA_009701225.1	GCA_009698005.1	GCA_009701225.1	99.99	99.9999	0.9996	1	0.9656	0.9754
307	GCA_018363815.1__GCF_000364325.1	GCA_018363815.1	GCF_000364325.1	99.64	99.9168	0.9996	1	0.938	0.9533
308	GCF_014142545.1__GCF_014142725.1	GCF_014142545.1	GCF_014142725.1	100.0	99.9999	0.9997	4	0.9962	0.9822
309	GCF_902706345.1__GCF_902706445.1	GCF_902706345.1	GCF_902706445.1	100.0	99.9999	0.9997	3	0.9823	0.9879
310	GCF_900103075.1__GCF_900108235.1	GCF_900103075.1	GCF_900108235.1	99.99	99.9999	0.9997	3	0.9951	0.9967
311	GCF_000170375.1__GCF_902829515.1	GCF_000170375.1	GCF_902829515.1	99.98	99.9983	0.9997	5	0.9496	0.9392
312	GCA_903862675.1__GCA_903863635.1	GCA_903862675.1	GCA_903863635.1	99.98	99.9946	0.9997	2	0.9429	0.9124
313	GCF_016814495.1__GCF_016814565.1	GCF_016814495.1	GCF_016814565.1	100.0	99.9999	0.9997	2	0.9966	0.9953
314	GCF_004103265.1__GCF_014925335.1	GCF_004103265.1	GCF_014925335.1	99.94	99.9669	0.9998	1	0.9367	0.9264
315	GCA_001724095.1__GCA_017307975.1	GCA_001724095.1	GCA_017307975.1	99.95	99.9932	0.9998	3	0.9104	0.9269
316	GCA_000687435.1__GCF_014653075.1	GCA_000687435.1	GCF_014653075.1	99.96	99.9963	0.9999	1	0.9586	0.9541
317	GCA_900551255.1__GCA_905210225.1	GCA_900551255.1	GCA_905210225.1	100.0	99.9999	1.0	0	0.9713	0.9701
318	GCA_000991855.1__GCA_000991935.1	GCA_000991855.1	GCA_000991935.1	99.94	99.9999	1.0	0	0.9494	0.9228
319	GCF_003253775.1__GCF_003584725.1	GCF_003253775.1	GCF_003584725.1	99.96	99.9948	1.0	0	0.9999	0.9999
320	GCF_001437465.1__GCF_902386015.1	GCF_001437465.1	GCF_902386015.1	100.0	99.9999	1.0	0	0.9677	0.9677
321	GCA_001771425.1__GCA_001771465.1	GCA_001771425.1	GCA_001771465.1	99.99	99.9999	1.0	0	0.9983	0.9983
322	GCA_001830015.1__GCA_003487205.1	GCA_001830015.1	GCA_003487205.1	100.0	99.9981	1.0	0	0.9851	0.9696
323	GCA_002281275.1__GCA_002281915.1	GCA_002281275.1	GCA_002281915.1	99.98	99.9993	1.0	0	0.9797	0.9591
324	GCA_003209665.1__GCA_902594495.1	GCA_003209665.1	GCA_902594495.1	100.0	99.9999	1.0	0	0.9401	0.9401
325	GCF_000771605.1__GCF_900094965.1	GCF_000771605.1	GCF_900094965.1	99.99	99.9999	1.0	0	0.9784	0.983
326	GCF_000226455.1__GCF_009862985.1	GCF_000226455.1	GCF_009862985.1	100.0	99.9999	1.0	0	0.9921	0.9921
327	GCF_900108495.1__GCF_900167315.1	GCF_900108495.1	GCF_900167315.1	99.99	99.9957	1.0	0	0.9895	0.9904
328	GCF_000195735.1__GCF_000277165.1	GCF_000195735.1	GCF_000277165.1	99.96	99.9894	1.0	0	0.9993	0.9993
329	GCA_015354435.1__GCA_015354475.1	GCA_015354435.1	GCA_015354475.1	99.99	99.9999	1.0	0	0.9942	0.9942
330	GCF_000022785.1__GCF_000277205.1	GCF_000022785.1	GCF_000277205.1	99.97	99.9947	1.0	0	0.9993	0.9993
331	GCA_018650665.1__GCA_018652185.1	GCA_018650665.1	GCA_018652185.1	99.98	99.9937	1.0	0	0.978	0.9759
332	GCF_018618015.1__GCF_018618055.1	GCF_018618015.1	GCF_018618055.1	99.99	99.9999	1.0	0	0.986	0.986
333	GCA_900314325.1__GCA_902803895.1	GCA_900314325.1	GCA_902803895.1	100.0	99.9999	1.0	0	0.9033	0.9033
334	GCF_009806145.1__GCF_014636415.1	GCF_009806145.1	GCF_014636415.1	99.99	99.9999	1.0	0	0.9959	0.9957
335	GCA_902386505.1__GCF_001578645.1	GCA_902386505.1	GCF_001578645.1	100.0	99.9999	1.0	0	0.9852	0.9852
336	GCA_900315365.1__GCA_902756905.1	GCA_900315365.1	GCA_902756905.1	100.0	99.9999	1.0	0	0.9679	0.9679
