pairid	q_acc	r_acc	anim_ani	anim_af_ref	K_est	q_contig_count	r_contig_count	q_ncbi_assembly_level	r_ncbi_assembly_level	syn2b_shared_tags	syn2b_observable_fraction	dd_major	s2b_major	dnadiff_inverted_fraction	syn2b_raw_inverted_fraction	q_species	r_species	q_genus	q_family	q_phylum	same_species	inverted
GCA_001768435.1__GCA_001769775.1	GCA_001768435.1	GCA_001769775.1	99.78	98.8	1.9864999999998911	17.0	308.0	Scaffold	Scaffold	1973	0.9995	0.4425965143412409	0.4298	0.4425965143412409	0.4298	Bact-08 sp003542575	Bact-08 sp003542575	Bact-08	UBA932	Bacteroidota	True	True
GCF_013372245.1__GCF_018500215.1	GCF_013372245.1	GCF_018500215.1	98.36	89.76	2.012200000000049	1.0	67.0	Complete Genome	Contig	1446	0.9993	0.442461448263638	0.45781	0.557538551736362	0.54219	Campylobacter_D upsaliensis	Campylobacter_D upsaliensis	Campylobacter_D	Campylobacteraceae	Campylobacterota	True	True
GCA_903819555.1__GCA_903836045.1	GCA_903819555.1	GCA_903836045.1	99.99	82.2	2.9509000000000944	40.0	47.0	Contig	Contig	2787	0.9993	0.441247792159432	0.45999	0.441247792159432	0.45999	XYB12-FULL-50-7 sp903856085	XYB12-FULL-50-7 sp903856085	XYB12-FULL-50-7	UBA2337	Omnitrophota	True	True
GCF_003346865.1__GCF_004745775.1	GCF_003346865.1	GCF_004745775.1	99.99	100.0	2.107599999999878	9.0	63.0	Contig	Contig	3692	0.9997	0.4392813033632667	0.44285	0.5607186966367332	0.55715	DB6-IX sp003612895	DB6-IX sp003612895	DB6-IX	Bacteriovoracaceae	Bdellovibrionota	True	True
GCF_001262035.1__GCF_003130125.1	GCF_001262035.1	GCF_003130125.1	97.48	93.84	2.0632000000000303	1.0	36.0	Complete Genome	Scaffold	1329	0.9992	0.4377078542517474	0.47103	0.5622921457482526	0.52897	Aggregatibacter aphrophilus	Aggregatibacter aphrophilus	Aggregatibacter	Pasteurellaceae	Proteobacteria	True	True
GCF_003634815.1__GCF_003814735.1	GCF_003634815.1	GCF_003814735.1	99.41	93.6	1.0	3.0	6.0	Contig	Contig	9767	1.0	0.4376420079761119	0.4421	0.4376420079761119	0.4421	Streptomyces katrae_A	Streptomyces katrae_A	Streptomyces	Streptomycetaceae	Actinobacteriota	True	True
GCA_009701225.1__GCA_009702335.1	GCA_009701225.1	GCA_009702335.1	99.99	99.68	2.034499999999886	10.0	10.0	Contig	Contig	2069	0.9995	0.435288391266205	0.46013	0.564711608733795	0.53987	QYPT01 sp009698615	QYPT01 sp009698615	QYPT01	Nanopelagicaceae	Actinobacteriota	True	True
GCA_003966995.1__GCF_011317485.1	GCA_003966995.1	GCF_011317485.1	99.99	100.0	2.807399999999801	3.0	810.0	Complete Genome	Contig	9037	0.9998	0.4346593646825603	0.42459	0.4346593646825603	0.42459	Oharaeibacter diazotrophicus	Oharaeibacter diazotrophicus	Oharaeibacter	Pleomorphomonadaceae	Proteobacteria	True	True
GCF_000294715.1__GCF_900475345.1	GCF_000294715.1	GCF_900475345.1	98.31	99.63	1.0	1.0	1.0	Complete Genome	Complete Genome	1171	1.0	0.434435468541498	0.46114	0.434435468541498	0.46114	Bartonella quintana	Bartonella quintana	Bartonella	Rhizobiaceae_A	Proteobacteria	True	True
GCF_001481725.1__GCF_902364445.1	GCF_001481725.1	GCF_902364445.1	98.83	85.87	1.8651999999999047	1.0	41.0	Complete Genome	Scaffold	2884	0.9997	0.4342097642583202	0.42961	0.4342097642583202	0.42961	Eubacterium maltosivorans	Eubacterium maltosivorans	Eubacterium	Eubacteriaceae	Firmicutes_A	True	True
GCF_000686065.1__GCF_000686965.1	GCF_000686065.1	GCF_000686965.1	98.43	82.93	1.980999999999892	1.0	48.0	Contig	Scaffold	3270	0.9997	0.4337024674351346	0.43089	0.5662975325648654	0.56911	Butyrivibrio hungatei_A	Butyrivibrio hungatei_A	Butyrivibrio	Lachnospiraceae	Firmicutes_A	True	True
GCF_000393895.1__GCF_001807055.1	GCF_000393895.1	GCF_001807055.1	99.37	85.39	2.9434000000001457	24.0	187.0	Scaffold	Scaffold	3239	0.9994	0.4336344983112158	0.44551	0.5663655016887842	0.55449	Enterococcus_A raffinosus	Enterococcus_A raffinosus	Enterococcus_A	Enterococcaceae	Firmicutes	True	True
GCF_000158435.2__GCF_900198355.1	GCF_000158435.2	GCF_900198355.1	97.01	93.12	1.0	77.0	81.0	Scaffold	Scaffold	1278	1.0	0.4333642211230954	0.41706	0.5666357788769045	0.58294	Helicobacter_A rappini	Helicobacter_A rappini	Helicobacter_A	Helicobacteraceae	Campylobacterota	True	True
GCA_001792065.1__GCA_001792375.1	GCA_001792065.1	GCA_001792375.1	99.88	96.75	2.0020000000000007	54.0	20.0	Scaffold	Scaffold	1002	0.999	0.4333502539458899	0.43613	0.5666497460541101	0.56387	HO2-FULL-38-9 sp001793095	HO2-FULL-38-9 sp001793095	HO2-FULL-38-9	UBA8517	Patescibacteria	True	True
GCF_001555555.1__GCF_002888235.1	GCF_001555555.1	GCF_002888235.1	99.81	96.88	1.0	4.0	239.0	Contig	Contig	15328	1.0	0.4319666905982017	0.43124	0.4319666905982017	0.43124	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia	Burkholderiaceae	Proteobacteria	True	True
GCF_000262445.1__GCF_900112905.1	GCF_000262445.1	GCF_900112905.1	98.36	79.44	1.0	22.0	133.0	Chromosome	Scaffold	1334	1.0	0.429843720597556	0.43403	0.429843720597556	0.43403	Thermoanaerobacter ethanolicus	Thermoanaerobacter ethanolicus	Thermoanaerobacter	Thermoanaerobacteraceae	Firmicutes_A	True	True
GCF_002891115.1__GCF_009909265.1	GCF_002891115.1	GCF_009909265.1	99.82	96.32	2.566899999999827	2.0	91.0	Contig	Scaffold	15669	0.9999	0.4293072711874753	0.4417	0.4293072711874753	0.4417	Burkholderia thailandensis	Burkholderia thailandensis	Burkholderia	Burkholderiaceae	Proteobacteria	True	True
GCF_000146525.1__GCF_900109835.1	GCF_000146525.1	GCF_900109835.1	97.44	82.97	1.0	25.0	26.0	Scaffold	Scaffold	1309	1.0	0.4277863378142598	0.43086	0.5722136621857402	0.56914	Streptococcus gallolyticus	Streptococcus gallolyticus	Streptococcus	Streptococcaceae	Firmicutes	True	True
GCA_000307585.2__GCF_000512105.1	GCA_000307585.2	GCF_000512105.1	99.99	99.8	1.9835999999998917	3.0	91.0	Complete Genome	Contig	2459	0.9996	0.4274428595260439	0.43636	0.5725571404739561	0.56364	Thermoanaerobacterium aotearoense	Thermoanaerobacterium aotearoense	Thermoanaerobacterium	Thermoanaerobacteraceae	Firmicutes_A	True	True
GCF_003086915.1__GCF_016624665.1	GCF_003086915.1	GCF_016624665.1	97.35	83.77	2.1389999999998746	12.0	235.0	Chromosome	Contig	5695	0.9998	0.4270618395548052	0.42248	0.4270618395548052	0.42248	Stenotrophomonas sp003086775	Stenotrophomonas sp003086775	Stenotrophomonas	Xanthomonadaceae	Proteobacteria	True	True
GCA_017472515.1__GCA_017542665.1	GCA_017472515.1	GCA_017542665.1	98.5	41.35	2.3735999999999833	19.0	276.0	Contig	Contig	404	0.9966	0.4262574194977455	0.44059	0.5737425805022545	0.55941	CACZYB01 sp017938435	CACZYB01 sp017938435	CACZYB01	CACZYB01	Proteobacteria	True	True
GCF_000509385.1__GCF_002204305.1	GCF_000509385.1	GCF_002204305.1	99.19	93.94	1.0	3.0	233.0	Contig	Scaffold	5638	1.0	0.4259292881133383	0.42551	0.4259292881133383	0.42551	Microbacterium arborescens	Microbacterium arborescens	Microbacterium	Microbacteriaceae	Actinobacteriota	True	True
GCF_001026985.1__GCF_004959795.1	GCF_001026985.1	GCF_004959795.1	98.73	93.86	2.073199999999882	1.0	32.0	Complete Genome	Contig	2683	0.9996	0.4247510909721052	0.40701	0.4247510909721052	0.40701	Pragia fontium	Pragia fontium	Pragia	Enterobacteriaceae	Proteobacteria	True	True
GCF_000018245.1__GCF_002078315.1	GCF_000018245.1	GCF_002078315.1	99.56	95.55	1.0	1.0	2.0	Complete Genome	Complete Genome	923	1.0	0.4246912739716975	0.42795	0.4246912739716975	0.42795	Rickettsia bellii	Rickettsia bellii	Rickettsia	Rickettsiaceae	Proteobacteria	True	True
GCF_003797085.1__GCF_013277795.1	GCF_003797085.1	GCF_013277795.1	98.68	85.89	1.979099999999892	21.0	40.0	Scaffold	Scaffold	9791	0.9999	0.4243351822236719	0.41936	0.4243351822236719	0.41936	Rhodococcus globerulus	Rhodococcus globerulus	Rhodococcus	Mycobacteriaceae	Actinobacteriota	True	True
GCF_004063735.1__GCF_014199715.1	GCF_004063735.1	GCF_014199715.1	99.99	99.98	2.99819999999978	3.0	104.0	Complete Genome	Scaffold	9991	0.9998	0.4242478016924998	0.41517	0.4242478016924998	0.41517	Paracoccus denitrificans	Paracoccus denitrificans	Paracoccus	Rhodobacteraceae	Proteobacteria	True	True
GCA_018648725.1__GCA_018674115.1	GCA_018648725.1	GCA_018674115.1	99.98	95.48	1.9971999999999823					831	0.9988	0.4232378411691689	0.43081	0.4232378411691689	0.43081						False	True
GCF_003516165.1__GCF_003958395.1	GCF_003516165.1	GCF_003958395.1	99.94	99.92	1.0	2.0	177.0	Chromosome	Contig	8678	1.0	0.4231946783393437	0.42233	0.4231946783393437	0.42233	Serratia nematodiphila	Serratia nematodiphila	Serratia	Enterobacteriaceae	Proteobacteria	True	True
GCF_012273335.1__GCF_016757895.1	GCF_012273335.1	GCF_016757895.1	97.61	80.11	2.071199999999882	1.0	114.0	Chromosome	Contig	2678	0.9996	0.4213974059479997	0.35437	0.5786025940520003	0.64563	Bacillus_A anthracis	Bacillus_A anthracis	Bacillus_A	Bacillaceae_G	Firmicutes	True	True
GCF_003590545.1__GCF_016635095.1	GCF_003590545.1	GCF_016635095.1	98.3	93.92	2.0820000000000007	4.0	238.0	Chromosome	Scaffold	1082	0.999	0.4206190360499279	0.41867	0.4206190360499279	0.41867	Hamiltonella defensa	Hamiltonella defensa	Hamiltonella	Enterobacteriaceae	Proteobacteria	True	True
GCF_900452285.1__GCF_900637935.1	GCF_900452285.1	GCF_900637935.1	98.77	95.28	1.0	2.0	1.0	Contig	Complete Genome	1940	1.0	0.4178608363912147	0.42577	0.5821391636087853	0.57423	Kurthia zopfii	Kurthia zopfii	Kurthia	Planococcaceae	Firmicutes	True	True
GCA_013155505.1__GCA_013155515.1	GCA_013155505.1	GCA_013155515.1	99.15	96.55	1.880799999999903	7.0	7.0	Contig	Contig	2936	0.9997	0.4175719380908804	0.41178	0.5824280619091196	0.58822	Berryella sp013201155	Berryella sp013201155	Berryella	Eggerthellaceae	Actinobacteriota	True	True
GCF_003855255.1__GCF_017052695.1	GCF_003855255.1	GCF_017052695.1	99.34	93.11	1.0	20.0	2.0	Chromosome	Contig	10634	1.0	0.4171363348534772	0.40418	0.4171363348534772	0.40418	Mycobacterium septicum	Mycobacterium septicum	Mycobacterium	Mycobacteriaceae	Actinobacteriota	True	True
GCF_000965005.1__GCF_000965045.1	GCF_000965005.1	GCF_000965045.1	99.62	92.08	1.0	1.0	4.0	Contig	Contig	898	1.0	0.4162490097702667	0.41425	0.5837509902297333	0.58575	Rickettsia bellii	Rickettsia bellii	Rickettsia	Rickettsiaceae	Proteobacteria	True	True
GCF_003855255.1__GCF_016919325.1	GCF_003855255.1	GCF_016919325.1	99.08	89.57	1.0	20.0	1.0	Chromosome	Complete Genome	10060	1.0	0.4160722126271198	0.3994	0.4160722126271198	0.3994	Mycobacterium septicum	Mycobacterium septicum	Mycobacterium	Mycobacteriaceae	Actinobacteriota	True	True
GCF_000965045.1__GCF_002078315.1	GCF_000965045.1	GCF_002078315.1	99.61	95.92	2.004299999999991	4.0	2.0	Contig	Complete Genome	913	0.9989	0.4150332138147942	0.41512	0.4150332138147942	0.41512	Rickettsia bellii	Rickettsia bellii	Rickettsia	Rickettsiaceae	Proteobacteria	True	True
GCF_003600795.1__GCF_018971125.1	GCF_003600795.1	GCF_018971125.1	99.77	97.44	1.9515999999998952	7.0	28.0	Contig	Scaffold	4758	0.9998	0.4145303524324781	0.37292	0.4145303524324781	0.37292	Bacillus_I filamentosa	Bacillus_I filamentosa	Bacillus_I	Bacillaceae_H	Firmicutes	True	True
GCA_900548655.1__GCA_902762815.1	GCA_900548655.1	GCA_902762815.1	99.02	93.76	1.0	17.0	108.0	Contig	Scaffold	1079	1.0	0.414352164049615	0.40686	0.5856478359503849	0.59314	Zag111 sp002102825	Zag111 sp002102825	Zag111	Gastranaerophilaceae	Cyanobacteria	True	True
GCF_000010605.1__GCF_000717795.1	GCF_000010605.1	GCF_000717795.1	99.1	92.54	1.0	1.0	166.0	Complete Genome	Contig	9684	1.0	0.4143469998930351	0.42214	0.4143469998930351	0.42214	Streptomyces griseus	Streptomyces griseus	Streptomyces	Streptomycetaceae	Actinobacteriota	True	True
GCF_000972245.3__GCF_018971125.1	GCF_000972245.3	GCF_018971125.1	99.77	96.99	1.9467999999998955	9.0	28.0	Complete Genome	Scaffold	4734	0.9998	0.4136073949749036	0.36869	0.5863926050250964	0.63131	Bacillus_I filamentosa	Bacillus_I filamentosa	Bacillus_I	Bacillaceae_H	Firmicutes	True	True
GCF_000012185.1__GCF_900408185.1	GCF_000012185.1	GCF_900408185.1	97.39	87.94	2.0463999999999816	1.0	55.0	Complete Genome	Contig	872	0.9988	0.4123274553678099	0.44495	0.5876725446321901	0.55505	Haemophilus influenzae	Haemophilus influenzae	Haemophilus	Pasteurellaceae	Proteobacteria	True	True
GCF_000968715.2__GCF_003030865.2	GCF_000968715.2	GCF_003030865.2	99.02	90.69	1.0	1.0	45.0	Complete Genome	Scaffold	4898	1.0	0.4098275599331429	0.412	0.4098275599331429	0.412	Halomonas halophila	Halomonas halophila	Halomonas	Halomonadaceae	Proteobacteria	True	True
GCF_000312405.1__GCF_001437235.1	GCF_000312405.1	GCF_001437235.1	97.26	79.14	2.1000000000000316	40.0	192.0	Scaffold	Scaffold	1375	0.9992	0.408903199005395	0.40073	0.5910968009946049	0.59927	Limosilactobacillus ingluviei	Limosilactobacillus ingluviei	Limosilactobacillus	Lactobacillaceae	Firmicutes	True	True
GCF_009755645.1__GCF_903797685.1	GCF_009755645.1	GCF_903797685.1	97.52	84.05	2.126199999999876	1.0	74.0	Complete Genome	Scaffold	5631	0.9998	0.4083242567437402	0.39283	0.5916757432562598	0.60717	Pseudomonas_E alkylphenolica	Pseudomonas_E alkylphenolica	Pseudomonas_E	Pseudomonadaceae	Proteobacteria	True	True
GCF_002057455.1__GCF_012034275.1	GCF_002057455.1	GCF_012034275.1	97.16	86.25	2.100599999999879	1.0	187.0	Complete Genome	Contig	11006	0.9999	0.4068580167445235	0.40805	0.5931419832554765	0.59195	Nonomuraea parvosata	Nonomuraea parvosata	Nonomuraea	Streptosporangiaceae	Actinobacteriota	True	True
GCF_002128025.1__GCF_009810255.1	GCF_002128025.1	GCF_009810255.1	99.78	99.28	2.0067999999999824	1.0	38.0	Complete Genome	Contig	839	0.9988	0.4064605832236683	0.37902	0.4064605832236683	0.37902	Mycoplasmoides pneumoniae	Mycoplasmoides pneumoniae	Mycoplasmoides	Mycoplasmoidaceae	Firmicutes	True	True
GCF_013390305.1__GCF_018130485.1	GCF_013390305.1	GCF_018130485.1	98.54	81.12	2.3193999999998547	1.0	496.0	Complete Genome	Contig	13194	0.9999	0.4044327453658368	0.40776	0.5955672546341632	0.59224	Bradyrhizobium diazoefficiens	Bradyrhizobium diazoefficiens	Bradyrhizobium	Xanthobacteraceae	Proteobacteria	True	True
GCF_008586805.1__GCF_900407865.1	GCF_008586805.1	GCF_900407865.1	97.23	87.11	1.9863999999999824	1.0	33.0	Complete Genome	Contig	822	0.9988	0.3987983066713512	0.382	0.3987983066713512	0.382	Haemophilus aegyptius	Haemophilus aegyptius	Haemophilus	Pasteurellaceae	Proteobacteria	True	True
GCF_001715725.1__GCF_001715775.1	GCF_001715725.1	GCF_001715775.1	99.05	91.11	1.0	22.0	130.0	Contig	Contig	1498	1.0	0.3961360077611737	0.40454	0.3961360077611737	0.40454	Brochothrix thermosphacta	Brochothrix thermosphacta	Brochothrix	Listeriaceae	Firmicutes	True	True
GCF_011759615.1__GCF_012932485.1	GCF_011759615.1	GCF_012932485.1	99.65	98.49	1.0	8.0	9.0	Scaffold	Scaffold	5129	1.0	0.3954658773900141	0.39891	0.3954658773900141	0.39891	Pedobacter sp011759615	Pedobacter sp011759615	Pedobacter	Sphingobacteriaceae	Bacteroidota	True	True
GCF_003124115.1__GCF_003989055.1	GCF_003124115.1	GCF_003989055.1	98.73	90.09	1.0	5.0	181.0	Contig	Contig	373	1.0	0.3954411759513292	0.37265	0.6045588240486708	0.62735	Spiroplasma poulsonii	Spiroplasma poulsonii	Spiroplasma	Mycoplasmataceae	Firmicutes	True	True
GCA_001830015.1__GCA_003487205.1	GCA_001830015.1	GCA_003487205.1	100.0	98.6	2.095000000000082	15.0	18.0	Scaffold	Contig	1825	0.9994	0.3944577905756494	0.38685	0.3944577905756494	0.38685	UBA2284 sp001830045	UBA2284 sp001830045	UBA2284	Acholeplasmataceae	Firmicutes	True	True
GCF_001634305.1__GCF_002075365.1	GCF_001634305.1	GCF_002075365.1	98.49	91.96	1.925199999999898	2.0	73.0	Complete Genome	Contig	3084	0.9997	0.3935721937293222	0.39008	0.6064278062706778	0.60992	Anoxybacillus_A rupiensis	Anoxybacillus_A rupiensis	Anoxybacillus_A	Anoxybacillaceae	Firmicutes	True	True
GCF_000413455.1__GCF_001810675.1	GCF_000413455.1	GCF_001810675.1	97.03	90.83	1.0	27.0	73.0	Scaffold	Scaffold	922	1.0	0.3934472929325414	0.36876	0.6065527070674586	0.63124	Facklamia hominis	Facklamia hominis	Facklamia	Aerococcaceae	Firmicutes	True	True
GCF_002327125.1__GCF_012395955.1	GCF_002327125.1	GCF_012395955.1	98.31	92.34	1.6781999999999253	4.0	59.0	Chromosome	Contig	6782	0.9999	0.3928538045936773	0.37688	0.3928538045936773	0.37688	Gordonia amicalis	Gordonia amicalis	Gordonia	Mycobacteriaceae	Actinobacteriota	True	True
GCF_011463375.1__GCF_013184245.1	GCF_011463375.1	GCF_013184245.1	97.5	93.69	1.0	65.0	17.0	Chromosome	Contig	4502	1.0	0.3919584378927093	0.37783	0.3919584378927093	0.37783	Bordetella trematum	Bordetella trematum	Bordetella	Burkholderiaceae	Proteobacteria	True	True
GCF_003316915.1__GCF_010206295.1	GCF_003316915.1	GCF_010206295.1	98.5	92.82	1.9664000000000277	1.0	43.0	Complete Genome	Contig	1208	0.9992	0.3917397864768683	0.37997	0.6082602135231316	0.62003	Lactobacillus johnsonii	Lactobacillus johnsonii	Lactobacillus	Lactobacillaceae	Firmicutes	True	True
GCF_003076355.1__GCF_003693415.1	GCF_003076355.1	GCF_003693415.1	99.98	97.27	2.136599999999875	2.0	77.0	Complete Genome	Scaffold	5683	0.9998	0.3913805999793142	0.40243	0.6086194000206858	0.59757	Clavibacter insidiosus	Clavibacter insidiosus	Clavibacter	Microbacteriaceae	Actinobacteriota	True	True
GCA_001188635.1__GCA_905205815.1	GCA_001188635.1	GCA_905205815.1	98.48	86.88	2.017600000000029	10.0	67.0	Chromosome	Contig	1272	0.9992	0.3870324467622142	0.39151	0.6129675532377857	0.60849	Companilactobacillus pabuli	Companilactobacillus pabuli	Companilactobacillus	Lactobacillaceae	Firmicutes	True	True
GCA_000219475.3__GCA_002311195.1	GCA_000219475.3	GCA_002311195.1	97.67	86.27	2.0669999999999904	3.0	42.0	Complete Genome	Scaffold	970	0.9989	0.3849293219428011	0.38454	0.3849293219428011	0.38454	Lactobacillus johnsonii	Lactobacillus johnsonii	Lactobacillus	Lactobacillaceae	Firmicutes	True	True
GCF_005233685.1__GCF_900005935.1	GCF_005233685.1	GCF_900005935.1	99.72	95.59	2.934999999999787	43.0	58.0	Contig	Scaffold	9675	0.9998	0.3842300080367922	0.37995	0.3842300080367922	0.37995	Pseudomonas_E sp900005815	Pseudomonas_E sp900005815	Pseudomonas_E	Pseudomonadaceae	Proteobacteria	True	True
GCA_001000345.1__GCA_003484695.1	GCA_001000345.1	GCA_003484695.1	99.89	97.29	1.996300000000013	21.0	18.0	Contig	Scaffold	1107	0.9991	0.3832005786865732	0.38573	0.3832005786865732	0.38573	UBA12472 sp003487265	UBA12472 sp003487265	UBA12472	UBA12028	Patescibacteria	True	True
GCA_001188635.1__GCF_001485255.1	GCA_001188635.1	GCF_001485255.1	99.58	95.79	1.0	10.0	58.0	Chromosome	Contig	1643	1.0	0.3772660105167391	0.3731	0.3772660105167391	0.3731	Companilactobacillus pabuli	Companilactobacillus pabuli	Companilactobacillus	Lactobacillaceae	Firmicutes	True	True
GCF_011751035.2__GCF_014650355.1	GCF_011751035.2	GCF_014650355.1	97.88	89.87	1.9225999999998984	2.0	68.0	Complete Genome	Scaffold	9226	0.9999	0.3763634748225765	0.37221	0.6236365251774235	0.62779	Streptomyces xanthochromogenes	Streptomyces xanthochromogenes	Streptomyces	Streptomycetaceae	Actinobacteriota	True	True
GCF_000368645.1__GCF_000931655.1	GCF_000368645.1	GCF_000931655.1	99.99	99.88	2.0802999999998812	20.0	41.0	Scaffold	Contig	3601	0.9997	0.3762048691672904	0.37434	0.6237951308327095	0.62566	Acinetobacter brisouii	Acinetobacter brisouii	Acinetobacter	Moraxellaceae	Proteobacteria	True	True
GCF_900608515.1__GCF_902832745.1	GCF_900608515.1	GCF_902832745.1	98.91	91.72	2.355899999999851	3.0	162.0	Contig	Contig	13559	0.9999	0.3760065253894463	0.37156	0.3760065253894463	0.37156	Burkholderia gladioli	Burkholderia gladioli	Burkholderia	Burkholderiaceae	Proteobacteria	True	True
GCF_000661935.1__GCF_000807315.1	GCF_000661935.1	GCF_000807315.1	98.58	92.47	1.0	10.0	1.0	Chromosome	Complete Genome	14079	1.0	0.3745358246755667	0.37595	0.6254641753244333	0.62405	Bradyrhizobium japonicum	Bradyrhizobium japonicum	Bradyrhizobium	Xanthobacteraceae	Proteobacteria	True	True
GCF_006370535.1__GCF_013135545.1	GCF_006370535.1	GCF_013135545.1	99.99	99.99	2.1372999999998745	13.0	12.0	Contig	Contig	3791	0.9997	0.3727201221126738	0.36165	0.3727201221126738	0.36165	Corynebacterium silvaticum	Corynebacterium silvaticum	Corynebacterium	Mycobacteriaceae	Actinobacteriota	True	True
GCA_002323055.1__GCA_002788895.1	GCA_002323055.1	GCA_002788895.1	99.95	96.54	2.076100000000022	13.0	63.0	Scaffold	Scaffold	633	0.9983	0.3702418880669465	0.3981	0.3702418880669465	0.3981	UBA1547 sp001873625	UBA1547 sp001873625	UBA1547	UBA1547	Patescibacteria	True	True
GCF_003675305.1__GCF_004361975.1	GCF_003675305.1	GCF_004361975.1	99.14	86.92	1.0	3.0	27.0	Complete Genome	Scaffold	5229	1.0	0.3649654752933414	0.36336	0.6350345247066586	0.63664	Buttiauxella ferragutiae	Buttiauxella ferragutiae	Buttiauxella	Enterobacteriaceae	Proteobacteria	True	True
GCA_902386885.1__GCA_905212575.1	GCA_902386885.1	GCA_905212575.1	98.82	91.45	1.0	1.0	126.0	Complete Genome	Contig	2484	1.0	0.3638003513615259	0.33776	0.6361996486384741	0.66224	Thermophilibacter timonensis	Thermophilibacter timonensis	Thermophilibacter	Atopobiaceae	Actinobacteriota	True	True
GCF_000725365.1__GCF_002884435.1	GCF_000725365.1	GCF_002884435.1	98.31	92.01	1.0	2.0	5.0	Complete Genome	Scaffold	3205	1.0	0.3632803586680364	0.36443	0.3632803586680364	0.36443	Terribacillus saccharophilus	Terribacillus saccharophilus	Terribacillus	Amphibacillaceae	Firmicutes	True	True
GCF_000407225.1__GCF_001885835.1	GCF_000407225.1	GCF_001885835.1	99.98	99.92	2.017499999999888	12.0	75.0	Scaffold	Contig	2035	0.9995	0.3621607142497497	0.35676	0.6378392857502503	0.64324	Enterococcus_E columbae	Enterococcus_E columbae	Enterococcus_E	Enterococcaceae	Firmicutes	True	True
GCF_900452715.1__GCF_900640165.1	GCF_900452715.1	GCF_900640165.1	99.97	99.97	2.9980000000001494	2.0	119.0	Contig	Scaffold	3330	0.9994	0.3581080810889419	0.35015	0.6418919189110581	0.64985	Legionella moravica	Legionella moravica	Legionella	Legionellaceae	Proteobacteria	True	True
GCF_002327125.1__GCF_014050135.1	GCF_002327125.1	GCF_014050135.1	98.07	90.88	2.316399999999855	4.0	97.0	Chromosome	Scaffold	6582	0.9998	0.3579684117619938	0.35627	0.6420315882380062	0.64373	Gordonia amicalis	Gordonia amicalis	Gordonia	Mycobacteriaceae	Actinobacteriota	True	True
GCA_016708985.1__GCA_018057805.1	GCA_016708985.1	GCA_018057805.1	99.79	99.78	2.797899999999802	3.0	78.0	Contig	Scaffold	5993	0.9997	0.3532430304286477	0.36426	0.3532430304286477	0.36426	PHOS-HE28 sp016704485	PHOS-HE28 sp016704485	PHOS-HE28	PHOS-HE28	Bacteroidota	True	True
GCA_003511045.1__GCA_003524005.1	GCA_003511045.1	GCA_003524005.1	99.99	98.97	1.0	11.0	16.0	Contig	Contig	1775	1.0	0.3527896502068026	0.36338	0.6472103497931974	0.63662	UBA2284 sp001830045	UBA2284 sp001830045	UBA2284	Acholeplasmataceae	Firmicutes	True	True
GCA_002772855.1__GCA_009992265.1	GCA_002772855.1	GCA_009992265.1	99.94	97.63	2.0304999999999627	27.0	20.0	Scaffold	Contig	687	0.9985	0.3526280354269195	0.31441	0.3526280354269195	0.31441	CG2-30-36-39 sp001873435	CG2-30-36-39 sp001873435	CG2-30-36-39	PJMF01	Patescibacteria	True	True
GCF_000160735.1__GCF_003664375.1	GCF_000160735.1	GCF_003664375.1	97.19	78.43	1.0	135.0	13.0	Chromosome	Contig	255	1.0	0.3520670450894291	0.36078	0.6479329549105709	0.63922	Rickettsia tamurae	Rickettsia tamurae	Rickettsia	Rickettsiaceae	Proteobacteria	True	True
GCA_000996945.1__GCA_003521685.1	GCA_000996945.1	GCA_003521685.1	99.5	49.88	2.152000000000001	28.0	76.0	Scaffold	Scaffold	288	0.996	0.3517523615882933	0.35417	0.6482476384117066	0.64583	UBA10122 sp001001185	UBA10122 sp001001185	UBA10122	Brennerbacteraceae	Patescibacteria	True	True
GCF_014142545.1__GCF_014142725.1	GCF_014142545.1	GCF_014142725.1	100.0	98.61	1.0	39.0	106.0	Contig	Scaffold	13566	1.0	0.3515214509601704	0.35066	0.6484785490398296	0.64934	Ralstonia pickettii_B	Ralstonia pickettii_B	Ralstonia	Burkholderiaceae	Proteobacteria	True	True
GCF_900638615.1__GCF_902825135.1	GCF_900638615.1	GCF_902825135.1	99.95	99.91	2.0039999999998894	1.0	51.0	Complete Genome	Scaffold	2008	0.9995	0.3509581746976457	0.35757	0.6490418253023543	0.64243	Bartonella elizabethae	Bartonella elizabethae	Bartonella	Rhizobiaceae_A	Proteobacteria	True	True
GCA_902387115.1__GCA_905199675.1	GCA_902387115.1	GCA_905199675.1	98.4	89.84	1.0	3.0	68.0	Chromosome	Contig	1168	1.0	0.3488198689937705	0.32449	0.3488198689937705	0.32449	Monoglobus pectinilyticus	Monoglobus pectinilyticus	Monoglobus	Monoglobaceae	Firmicutes_A	True	True
GCF_000969925.1__GCF_900116525.1	GCF_000969925.1	GCF_900116525.1	99.82	97.35	1.9953999999998904					3318	0.9997	0.3471198189654066	0.35383	0.3471198189654066	0.35383						False	True
GCF_000477935.1__GCF_003989495.1	GCF_000477935.1	GCF_003989495.1	98.44	90.82	1.0	4.0	29.0	Scaffold	Contig	2759	1.0	0.3394725150262243	0.3378	0.6605274849737757	0.6622	Corynebacterium pseudodiphtheriticum	Corynebacterium pseudodiphtheriticum	Corynebacterium	Mycobacteriaceae	Actinobacteriota	True	True
